role_name;idPer;idObra;idPapel;
Tony;2;2409;17589;
Frank;3;2259;16771;
Rachel;4;1214;43904;
Himself;5;3266;23683;
Himself;5;115;37542;
Locutora;6;1547;45184;
;7;1767;45959;
Cataléptico 2;8;2600;18668;
Joven realizador;8;3884;27752;
;9;3582;52492;
;12;3043;50394;
;12;3680;52889;
;13;3262;23620;
Himself - Host;14;173;49;
;14;994;825;
Herself - Hostess;15;301;37931;
;16;4063;54143;
Jolly;19;439;41532;
Secretaria de la Agencia de Viajes;19;4280;55479;
;21;573;6717;
Domènec Tubau;22;4072;2942;
Luis;22;4090;28950;
Nazi 2;25;4789;32041;
Vagabundo;26;1270;11182;
Encargado hotel;27;4232;29502;
Dead Pile;28;2954;21354;
;31;3890;27790;
;33;1888;46495;
;35;3724;26615;
Guardia Puerta Comandancia 1º;36;1482;12005;
Hostess;37;5072;40183;
Sonia Castilla;38;1508;38623;
Verónica;38;1901;46532;
Estrella;38;2040;46985;
Lola;38;2947;49983;
Orso, the desertor;40;2615;1746;
;41;2616;18773;
Vincas;45;2618;18841;
Saloon Owner;46;4714;31648;
Lorenzo;48;3250;23549;
Chica reservados;50;2296;47702;
Radio operator;51;2739;19433;
;52;341;5382;
Driver #1;53;4746;55907;
Tuareg #1;54;4746;31783;
Taxi Driver;55;4649;865;
L.T. Romano;55;3258;23597;
Boxer;56;3765;2354;
Juez 2;57;3073;22386;
Police français;59;3826;28458;
Germaine Gargallo;60;1664;1200;
;60;581;41859;
;60;3175;51003;
Denise;60;3797;53291;
Gaby;60;3826;53975;
HG Puch;62;471;6167;
Taxista;62;528;6452;
Pareja Bar;64;605;6992;
;65;4283;54700;
;66;1451;11824;
Magician;68;1825;1240;
Hiwaga Sekim;68;2895;1871;
;68;3270;2020;
;68;290;5151;
;68;3722;26703;
;70;1328;44172;
Marcel;74;3258;23598;
Himself - Host;75;90;21;
Himself - Host;75;1118;890;
Himself - Host;75;2018;1325;
Himself - Host;75;2348;1468;
;75;5264;3821;
;75;1108;9580;
Contrabandista;75;3003;21781;
Co-piloto;76;2520;18277;
;79;4811;56095;
;83;5525;36375;
Le policier salle de contrôle;84;5208;34561;
Herself;85;2750;38991;
Herself - Hostess;86;199;37908;
Herself - Hostess;86;743;38133;
;86;5046;40150;
Narrator;86;3862;53485;
Pablo;87;1912;15129;
Osrain;88;2819;20078;
Carlos, Rais brother;89;578;6758;
Rita;90;724;42313;
Small;91;5139;34050;
Alba;94;299;41014;
Pescador 2;96;3155;22963;
;98;1312;10680;
Milan;99;1704;13766;
;101;2089;37698;
Eva;102;4802;40083;
Yuca;104;3547;2217;
Yuca;104;3230;23439;
Gloria;110;192;40643;
Luisa;110;354;41219;
Carmela;110;481;41591;
Verónica;110;579;41851;
Ana Alonso;110;583;41911;
José María;110;730;42353;
María José;110;730;42354;
Caperucita;110;771;42454;
Abilene;110;955;43065;
Ana Duque & Clara Duque;110;1215;43914;
Rosario;110;1337;44304;
Amelia;110;1636;45553;
Ada;110;1670;45640;
Sara;110;1670;45641;
Chelo;110;1393;45757;
La Merche;110;1792;46088;
Lolita - hermana de Pepi;110;1812;46169;
Miranda;110;2055;47005;
;110;2061;47034;
Marisa;110;2148;47306;
Luisa;110;2677;48835;
Andrea Caracortada;110;2760;49152;
Violeta;110;2820;49429;
Victoria;110;2858;49558;
Julita;110;2885;49697;
Bárbara Périsson;110;2962;50057;
Saga;110;2973;50091;
Girl with Juan;110;3001;50200;
Mariana;110;3059;50521;
Elena;110;3089;50704;
Manolita;110;3329;51486;
Lhôtesse;110;3408;51905;
Floren;110;3471;52136;
Clara;110;3806;53339;
Mercedes;110;3900;53647;
Anne;110;3954;53729;
Gloria;110;4023;54017;
Angelines;110;4186;54424;
Engracia;110;4214;54478;
Cardenala;110;4258;54612;
Blanca Arauz;110;4760;55955;
Aurora Nin;110;4863;56263;
Menchu;110;4863;56264;
Ramona;110;4863;56265;
Anne Birdsley;110;4973;56610;
Rebeca Giner;110;5028;56835;
Dorita;110;5153;57219;
