link;idObra;idObra2;
edited from;3303;838;
edited from;4989;1634;
edited from;3739;3938;
edited from;5107;3955;
edited from;3514;4218;
edited from;3637;4394;
edited from;4350;5120;
edited into;838;3303;
edited into;4218;3514;
edited into;4394;3637;
edited into;3938;3739;
edited into;1634;4989;
edited into;3955;5107;
featured in;1824;317;
featured in;2322;427;
featured in;4122;550;
featured in;5162;550;
featured in;2343;1454;
featured in;3641;1782;
featured in;437;1837;
featured in;2489;2055;
featured in;2757;2756;
featured in;2763;3633;
featured in;2964;4023;
featured in;587;4092;
featured in;4394;4393;
featured in;352;4789;
featured in;1882;4807;
featured in;1823;5113;
features;4789;352;
features;1837;437;
features;4093;587;
features;5113;1823;
features;317;1824;
features;4807;1882;
features;427;2322;
features;1454;2343;
features;2055;2489;
features;2756;2757;
features;3633;2763;
features;4023;2964;
features;1782;3641;
features;3023;3974;
features;4023;4102;
features;550;4122;
features;4393;4394;
features;550;5162;
features;3988;5492;
followed by;3700;3;
followed by;5461;75;
followed by;439;652;
followed by;638;798;
followed by;1532;1246;
followed by;1393;1394;
followed by;638;1416;
followed by;798;1416;
followed by;3028;1445;
followed by;1828;1445;
followed by;2824;1445;
followed by;1519;1518;
followed by;1619;1526;
followed by;1688;1687;
followed by;1790;1789;
followed by;2211;1821;
followed by;532;1822;
followed by;3006;1823;
followed by;3028;1828;
followed by;1919;1918;
followed by;2216;2215;
followed by;5654;2333;
followed by;258;2382;
followed by;658;2597;
followed by;3418;2699;
followed by;2757;2756;
followed by;2912;2764;
followed by;3149;2820;
followed by;3028;2824;
followed by;1828;2824;
followed by;2965;3184;
followed by;3417;3233;
followed by;3345;3344;
followed by;2965;3362;
followed by;3184;3362;
followed by;3028;3474;
followed by;1828;3474;
followed by;2824;3474;
followed by;3534;3636;
followed by;4394;3637;
followed by;4393;3637;
followed by;2925;4017;
followed by;4339;4017;
followed by;2965;4297;
followed by;3184;4297;
followed by;3362;4297;
followed by;2925;4339;
followed by;4394;4393;
followed by;18;4476;
followed by;5020;4869;
followed by;5171;5172;
followed by;5173;5172;
followed by;5171;5173;
followed by;5525;5523;
followed by;5523;5524;
followed by;5525;5524;
followed by;1949;5559;
followed by;2582;5643;
follows;2382;258;
follows;652;439;
follows;798;638;
follows;1416;638;
follows;2597;658;
follows;1416;798;
follows;532;1138;
follows;1394;1393;
follows;1518;1519;
follows;1246;1532;
follows;1526;1619;
follows;1687;1688;
follows;1789;1790;
follows;2824;1828;
follows;1445;1828;
follows;3474;1828;
follows;1918;1919;
follows;5559;1949;
follows;1821;2211;
follows;2215;2216;
follows;5643;2582;
follows;2756;2757;
follows;1445;2824;
follows;3474;2824;
follows;2764;2912;
follows;4339;2925;
follows;4017;2925;
follows;3184;2965;
follows;3362;2965;
