idPer;idObra;
10012;4236;
10024;1708;
10025;1192;
10053;2856;
10067;2320;
10089;3561;
10120;4174;
10126;3925;
10132;958;
10179;457;
10192;4875;
101;1263;
101;1940;
101;3157;
101;3465;
10202;233;
10213;135;
10223;1754;
10262;3277;
10298;1915;
10298;3247;
10298;3878;
10298;4124;
1031;5070;
10325;4953;
1033;4507;
1033;4821;
10342;3012;
10362;4283;
10362;435;
10362;964;
10421;3522;
10434;1453;
10434;2108;
10434;2772;
10434;3294;
10434;4767;
10440;4205;
10446;4551;
10455;1026;
10455;2889;
10455;4444;
10467;4175;
10467;519;
10472;333;
10535;2125;
10535;2264;
10535;2757;
10540;5298;
10553;693;
10589;4113;
10609;1753;
10609;4191;
10614;1142;
10615;3915;
1062;1530;
10631;1779;
10656;4740;
10666;4658;
10668;1758;
10668;2391;
10668;271;
10668;3530;
10668;4335;
10692;2604;
10695;1214;
10695;2994;
10695;3080;
10695;3388;
10695;3580;
10695;4764;
10695;840;
10696;4861;
10765;1984;
10765;792;
10796;3403;
1079;5302;
1079;89;
10804;1874;
10804;1887;
10812;1319;
10812;1998;
10812;2206;
10812;90;
1082;74;
10841;263;
10843;1129;
10843;4598;
10843;5293;
10899;2471;
10906;4979;
10924;1949;
10924;2144;
10924;2258;
10924;3016;
10924;3958;
10924;4067;
10924;4592;
10924;5382;
10924;5558;
10924;5673;
10941;1107;
10941;2575;
10941;2707;
10941;4555;
10951;5302;
10951;89;
10962;2690;
10995;4188;
10;3015;
11019;1950;
11019;1951;
11019;2525;
11019;4070;
11019;408;
11019;4679;
11054;565;
11077;1389;
11077;1534;
11077;2139;
11077;4492;
11077;4845;
11077;5239;
11077;5345;
11077;5521;
11078;2065;
11083;4185;
11085;4203;
11089;3242;
11091;1467;
11096;1191;
11096;1544;
11096;3336;
11096;3957;
11100;2520;
11100;3597;
11118;3257;
11118;4421;
11119;1422;
11152;4005;
11171;561;
11188;1380;
1121;3573;
11235;2402;
11260;4967;
11264;2061;
11264;5060;
11264;777;
11283;125;
11285;125;
11286;5492;
11315;4166;
11330;2804;
11330;2930;
11330;3046;
11330;3760;
11331;205;
11331;2354;
11331;5437;
11331;5474;
11332;285;
11391;2276;
11391;2657;
11391;4618;
11396;221;
11405;2457;
11405;3228;
11405;3783;
11405;3939;
11405;3965;
11405;4086;
11422;2651;
11422;2689;
11422;5518;
11433;409;
11442;1403;
11442;3042;
1145;1072;
11473;2411;
11475;178;
11475;5465;
11485;566;
11486;1039;
11486;1484;
11486;1978;
11486;335;
11486;4942;
11486;567;
11498;1161;
11506;2861;
11506;3592;
11506;5393;
11530;1705;
11530;1934;
11530;2326;
11530;3146;
11530;3726;
11530;3875;
11530;4400;
11530;4872;
11530;666;
11530;897;
11531;446;
11531;5569;
11531;558;
11544;1337;
11544;2389;
11544;2445;
11544;280;
11544;3041;
11544;3065;
11544;3386;
11544;3574;
11544;3767;
11544;388;
11544;4078;
11544;464;
11544;506;
11544;5164;
11544;5211;
11544;719;
11545;1505;
11545;4017;
11545;5184;
11545;668;
11555;4933;
1155;221;
1155;3085;
1155;3831;
1155;4275;
1155;676;
1155;995;
11562;2438;
11569;4439;
1156;2918;
11573;2056;
11573;304;
11573;3829;
11573;3851;
11590;1027;
11608;2051;
11608;2493;
11608;3834;
11608;503;
11609;2277;
11614;22;
11614;3504;
11615;3099;
11616;1304;
11647;1022;
11702;4274;
11732;4317;
11733;5355;
11749;2275;
11768;4614;
11771;2418;
11771;513;
11773;4793;
11784;2769;
11805;1110;
11805;1168;
11805;1406;
11805;1557;
11805;1609;
11805;1;
11805;2162;
11805;2376;
11805;2866;
11805;2983;
11805;3061;
11805;3322;
11805;3366;
11805;442;
11805;5348;
11805;867;
11805;963;
1180;1946;
1181;1946;
11830;4908;
11836;4502;
11843;1392;
11843;2533;
11844;1579;
11849;5197;
11849;761;
1186;1594;
11877;4029;
11905;3962;
11905;4588;
11905;5369;
11905;5375;
11917;4292;
11926;1060;
11938;87;
11970;3116;
11990;5630;
11;3908;
12031;2410;
12032;1719;
12032;1847;
12032;429;
12034;4728;
1207;2685;
12085;3689;
12092;3165;
12094;1740;
12094;3537;
12094;3978;
12097;654;
12109;2628;
12137;3693;
12156;2367;
12167;2460;
12167;5194;
12167;973;
12226;1537;
12266;1055;
12266;2308;
12266;3035;
12266;4870;
12281;1181;
12281;1387;
12281;1985;
12281;2148;
12281;2860;
12281;3747;
12284;556;
12294;4032;
12295;4182;
12297;2266;
12297;3856;
12298;735;
12306;2047;
12306;3432;
12306;4007;
12310;659;
12312;4048;
12312;518;
12343;4304;
12388;1056;
12388;2530;
12388;3163;
12388;4983;
12388;972;
12401;2082;
1240;189;
12412;1760;
12412;2036;
12412;3219;
12412;4204;
12413;1474;
12413;1852;
12413;28;
12413;3062;
12413;3685;
12413;4052;
12413;4696;
12413;5598;
1243;1381;
12445;1794;
1245;98;
12484;5275;
12492;4071;
12492;4967;
12492;565;
12498;3463;
12498;4781;
12498;5555;
12498;610;
12503;1454;
12503;4263;
12507;4876;
12532;303;
12532;3459;
12549;539;
12554;1001;
12554;103;
12554;1152;
12554;1400;
12554;1440;
12554;1473;
12554;1491;
12554;1635;
12554;1643;
12554;1645;
12554;1679;
12554;1722;
12554;1751;
12554;1865;
12554;1871;
12554;1895;
12554;1993;
12554;2062;
12554;2105;
12554;210;
12554;2203;
12554;2245;
12554;2248;
12554;2377;
12554;2515;
12554;2734;
12554;2761;
12554;2811;
12554;2854;
12554;2867;
12554;2868;
12554;2923;
12554;3032;
12554;3084;
12554;3203;
12554;3232;
12554;3337;
12554;3339;
12554;3368;
12554;3382;
12554;3385;
12554;3444;
12554;3462;
12554;3475;
12554;3478;
12554;3550;
12554;3675;
12554;3892;
12554;3904;
12554;3954;
12554;4217;
12554;4226;
12554;4286;
12554;4407;
12554;4667;
12554;4742;
12554;4763;
12554;4866;
12554;4899;
12554;4919;
12554;5086;
12554;5368;
12554;5389;
12554;5424;
12554;546;
12554;5509;
12554;5585;
12554;562;
12554;650;
12554;655;
12554;737;
12554;915;
12565;1246;
12565;1648;
12565;1881;
12565;2835;
12565;3295;
12565;3626;
12565;4202;
12565;4320;
12565;4758;
12565;596;
12581;2869;
12581;3516;
12581;4339;
12581;4757;
12581;5120;
12581;836;
12614;1151;
12643;2149;
12646;1067;
1272;5510;
12739;1674;
12743;5146;
12754;1006;
12754;2612;
12770;5177;
12792;5014;
12797;3442;
12826;4890;
12833;2016;
12833;2770;
12833;3356;
12862;1311;
12862;255;
12862;2692;
12862;5115;
12862;5531;
12882;2664;
12882;4095;
12902;5287;
12902;5370;
12902;5430;
12903;1259;
12918;1075;
12918;3552;
12929;3141;
12949;5050;
12961;3907;
12964;115;
13002;2801;
13009;5429;
13041;2263;
13054;4705;
13059;1972;
13059;4661;
13062;5228;
13096;2153;
13096;2552;
13103;4156;
13108;3252;
1311;216;
1311;2510;
1311;3666;
1311;5112;
13128;1105;
13128;1492;
13128;2031;
13128;2034;
13128;2164;
13128;3147;
13128;3720;
13128;4066;
13128;4084;
13128;4281;
13128;4405;
13128;4712;
13128;5390;
13128;688;
13128;689;
13128;703;
13128;710;
13128;909;
13145;605;
13151;2378;
13151;2813;
13151;3445;
13151;3733;
13151;4093;
13151;4326;
13151;5227;
13175;1401;
13175;1518;
13175;1519;
13175;2967;
13175;300;
13175;330;
13175;3389;
13175;3866;
13175;3941;
13175;4835;
13175;492;
13175;4938;
13175;493;
13175;5150;
13175;5588;
13175;749;
13175;819;
13190;1714;
13190;1764;
13190;2439;
13190;2833;
13190;2970;
13193;579;
13194;2924;
13194;3243;
13194;3970;
13194;4016;
13194;4303;
13194;4338;
13194;5196;
13222;1004;
13224;4643;
13225;2071;
13226;2041;
13243;1052;
13243;62;
13243;806;
13274;1206;
13282;3292;
13289;3104;
13289;5049;
13293;3492;
13293;5114;
13295;1087;
13295;1555;
13295;1738;
13295;2652;
13295;4714;
13306;1040;
13306;2670;
13306;3744;
13306;4688;
13306;5579;
13311;3972;
13311;5450;
13326;3849;
13329;1129;
13329;1312;
13329;1320;
13329;1699;
13329;1851;
13329;1953;
13329;2488;
13329;2895;
13329;3089;
13329;3383;
13329;4330;
13329;4868;
13329;5019;
13329;5169;
13329;5244;
13329;948;
13337;372;
13339;1350;
13339;3430;
13339;4864;
13355;1125;
13355;1205;
13355;1441;
13355;194;
13355;2242;
13355;256;
13355;3158;
13355;4127;
13356;2072;
13364;1251;
13364;2210;
13364;2404;
13364;2975;
13364;417;
13366;2939;
13366;3017;
13366;4687;
13366;5122;
13366;540;
13366;981;
13369;1880;
13369;701;
13386;146;
13393;4373;
13422;1063;
13428;4697;
13440;3118;
13457;989;
1347;4634;
1347;625;
13482;5304;
13507;4685;
13510;170;
13510;2462;
13510;4544;
13514;4035;
1353;1353;
1353;1906;
1353;4511;
1353;5405;
13541;1707;
13574;311;
13574;4121;
13575;878;
13577;1213;
13577;407;
13601;4605;
13608;2254;
13612;1483;
13614;4888;
13619;1098;
13626;5100;
13630;1036;
13630;1063;
13630;145;
13630;154;
13630;2354;
13630;246;
13630;3745;
13630;4177;
13630;446;
13630;4502;
13630;5032;
13630;5594;
13630;920;
13630;990;
13633;729;
13633;907;
13655;1556;
13655;2699;
13675;2317;
1369;2519;
13712;3504;
13724;1925;
13724;3963;
13724;4570;
13724;4883;
13725;834;
1373;1243;
1373;3944;
13750;1295;
13750;3656;
13770;1788;
13770;5044;
