serie_title;season_nr;episode_nr;kind;idObra;
13 x 13;;;episode;4975;
Andalucía, un siglo de fascinación;1;1;episode;1611;
Canguros;5;12;episode;50;
Canguros;2;4;episode;688;
Canguros;2;8;episode;689;
Canguros;1;4;episode;602;
Canguros;6;2;episode;780;
Canguros;1;3;episode;710;
Canguros;5;9;episode;909;
Canguros;2;2;episode;977;
Canguros;5;8;episode;1003;
Canguros;5;2;episode;1044;
Canguros;4;13;episode;1239;
Canguros;5;5;episode;1592;
Canguros;2;6;episode;1613;
Canguros;2;7;episode;1849;
Canguros;4;11;episode;1973;
Canguros;3;1;episode;1960;
Canguros;1;8;episode;2031;
Canguros;4;4;episode;2156;
Canguros;1;9;episode;2164;
Canguros;4;12;episode;2184;
Canguros;5;1;episode;2396;
Canguros;1;13;episode;3148;
Canguros;5;4;episode;3214;
Canguros;2;11;episode;3272;
Canguros;4;6;episode;3424;
Canguros;4;5;episode;3541;
Canguros;4;3;episode;3677;
Canguros;6;1;episode;3709;
Canguros;1;11;episode;3721;
Canguros;3;3;episode;3723;
Canguros;2;5;episode;3760;
Canguros;1;5;episode;4085;
Canguros;1;7;episode;4067;
Canguros;5;6;episode;4257;
Canguros;1;2;episode;4282;
Canguros;5;7;episode;4371;
Canguros;1;6;episode;4406;
Canguros;2;9;episode;4502;
Canguros;1;1;episode;4669;
Canguros;1;10;episode;4810;
Canguros;3;4;episode;4813;
Canguros;5;10;episode;4831;
Canguros;1;12;episode;5082;
Canguros;5;13;episode;5097;
Canguros;2;10;episode;5388;
Canguros;5;3;episode;5462;
Cicle Santiago Rusiñol;1;2;episode;1859;
Cicle Santiago Rusiñol;1;4;episode;4774;
Coup de foudre;;;episode;250;
Coup de foudre;;;episode;3783;
Coup de foudre;;;episode;4649;
Coup de foudre;;;episode;4659;
Dark Justice;2;9;episode;2668;
Dark Justice;2;16;episode;5483;
Delirios de amor;1;13;episode;4308;
Delirios de amor;1;10;episode;5345;
Dinamo;;;episode;51;
Eurocops;4;1;episode;4852;
Función de noche;2;3;episode;3283;
Galeria oberta;;;episode;1147;
Glasnost;;;episode;5228;
Gran teatre;;;episode;319;
Gran teatre;;;episode;1386;
Gran teatre;;;episode;3072;
Gran teatre;;;episode;3168;
Historias del otro lado;;;episode;3942;
Lletres catalanes;;;episode;557;
Lletres catalanes;;;episode;1397;
Lletres catalanes;;;episode;1932;
Lletres catalanes;;;episode;2550;
Lletres catalanes;;;episode;3011;
Lletres catalanes;;;episode;3949;
Lletres catalanes;;;episode;4671;
Lletres catalanes;;;episode;4750;
Lletres catalanes;;;episode;4881;
Makinavaja;1;1;episode;2004;
Menudo es mi padre;1;1;episode;38;
Menudo es mi padre;1;10;episode;39;
Menudo es mi padre;1;2;episode;40;
Menudo es mi padre;1;3;episode;41;
Menudo es mi padre;1;4;episode;42;
Menudo es mi padre;1;6;episode;43;
Menudo es mi padre;1;8;episode;44;
Menudo es mi padre;1;9;episode;45;
Menudo es mi padre;2;16;episode;46;
Menudo es mi padre;2;22;episode;47;
Menudo es mi padre;2;4;episode;48;
Menudo es mi padre;2;5;episode;49;
Menudo es mi padre;;;episode;52;
Menudo es mi padre;;;episode;53;
Menudo es mi padre;;;episode;54;
Menudo es mi padre;;;episode;55;
Menudo es mi padre;;;episode;56;
Menudo es mi padre;;;episode;57;
Menudo es mi padre;;;episode;58;
Menudo es mi padre;;;episode;59;
Menudo es mi padre;;;episode;60;
Menudo es mi padre;;;episode;61;
Menudo es mi padre;;;episode;198;
Menudo es mi padre;;;episode;230;
Menudo es mi padre;2;8;episode;310;
Menudo es mi padre;;;episode;649;
Menudo es mi padre;2;13;episode;601;
Menudo es mi padre;2;1;episode;828;
Menudo es mi padre;2;2;episode;898;
Menudo es mi padre;;;episode;991;
Menudo es mi padre;2;20;episode;1045;
Menudo es mi padre;2;23;episode;1070;
Menudo es mi padre;2;14;episode;1291;
Menudo es mi padre;3;1;episode;1633;
Menudo es mi padre;;;episode;1746;
Menudo es mi padre;2;12;episode;1814;
Menudo es mi padre;;;episode;2224;
Menudo es mi padre;2;11;episode;2332;
Menudo es mi padre;1;5;episode;2473;
Menudo es mi padre;3;6;episode;2532;
Menudo es mi padre;3;4;episode;2799;
Menudo es mi padre;;;episode;2967;
Menudo es mi padre;2;10;episode;3201;
Menudo es mi padre;2;6;episode;3263;
Menudo es mi padre;;;episode;3234;
Menudo es mi padre;2;9;episode;3339;
Menudo es mi padre;2;17;episode;3494;
Menudo es mi padre;2;19;episode;3606;
Menudo es mi padre;2;3;episode;3681;
Menudo es mi padre;3;3;episode;4299;
Menudo es mi padre;2;7;episode;4620;
Menudo es mi padre;3;2;episode;4640;
Menudo es mi padre;2;21;episode;4892;
Menudo es mi padre;;;episode;4987;
Menudo es mi padre;1;7;episode;5265;
Menudo es mi padre;1;11;episode;5267;
Menudo es mi padre;2;18;episode;5378;
Menudo es mi padre;2;15;episode;5629;
Menudo es mi padre;;;episode;5633;
Menudo es mi padre;3;5;episode;14;
Menudo es mi padre;;;episode;24;
Nova ficció;1;7;episode;3857;
Novel·la;;;episode;1963;
Pepe Carvalho;;;episode;339;
Pepe Carvalho;;;episode;1618;
Pepe Carvalho;;;episode;2611;
Pepe Carvalho;;;episode;3197;
Pepe Carvalho;;;episode;4259;
Pepe Carvalho;;;episode;5032;
Serie negra;1;3;episode;3203;
Sonatas;1;1;episode;4950;
Teta;1;6;episode;1153;
Teta;1;5;episode;1226;
Teta;1;3;episode;1278;
Teta;1;1;episode;1279;
Teta;1;7;episode;1280;
Teta;1;2;episode;1281;
Teta;1;4;episode;1283;
¡Qué grande es el teatro!;;;episode;3105;
