titlelink;link;idObra;idObra2;
¡¡Semos peligrosos!! (uséase Makinavaja 2);followed by;3699;3;
¡Biba la banda!;spin off from;2812;9;
¡Por fin solos!;follows;4475;18;
¡Qué grande es el teatro!;followed by;3512;21;
1492: Conquest of Paradise;version of;881;73;
1919, crónica del alba;followed by;5460;75;
¿Qué he hecho yo para merecer esto!!;referenced in;4364;118;
¿Qué he hecho yo para merecer esto!!;references;3000;118;
Abortar en Londres;references;1589;214;
Abre los ojos;referenced in;5112;216;
Aftermath;follows;2382;258;
Agítese antes de usarla;referenced in;1142;262;
Alas de mariposa;featured in;1824;317;
Alla ricerca di Sheherazade;followed by;1618;339;
Alla ricerca di Sheherazade;follows;2610;339;
Alla ricerca di Sheherazade;follows;3196;339;
Allanamiento de morada;referenced in;3795;340;
Amanece, que no es poco;features;4788;352;
Andalucía chica;referenced in;1138;390;
Aplauso;references;1519;425;
Apocalypse domani;featured in;2322;427;
Aquí huele a muerto... (¡pues yo no he sido!);features;1837;437;
Aquí llega Condemor, el pecador de la pradera;follows;652;439;
Arrebato;referenced in;493;453;
Arrebato;referenced in;726;453;
Asaltar los cielos;references;5217;474;
Asignatura pendiente;references;453;493;
Avisa a Curro Jiménez;followed by;1138;532;
Avisa a Curro Jiménez;follows;1822;532;
Bajo en nicotina;featured in;4121;550;
Bajo en nicotina;featured in;5161;550;
Barcelona sur;references;3156;573;
Barrio Sésamo;references;1557;577;
Barrio Sésamo;references;3554;577;
Barrio Sésamo;references;3621;577;
Barrio Sésamo;references;3699;577;
Belle epoque;features;4091;587;
Bodas de sangre;follows;1416;638;
Bodas de sangre;follows;798;638;
Brácula. Condemor II;followed by;439;652;
Breaking the Waves;follows;2596;658;
Brigada central 2: La guerra blanca;followed by;663;662;
Brigada central;follows;662;663;
Camada negra;references;453;726;
Canciones para después de una guerra;references;1797;758;
Carmen nue;version of;798;796;
Carmen;followed by;638;798;
Carmen;follows;1416;798;
Carmen;version of;796;798;
Caudillo;edited from;3302;838;
Cet obscur objet du désir;references;2513;858;
Cet obscur objet du désir;references;2983;858;
Con las bragas en la mano;references;2187;985;
Curro Jiménez;follows;1822;1138;
Curro Jiménez;follows;532;1138;
Curro Jiménez;references;390;1138;
Christopher Columbus: The Discovery;version of;73;881;
DArtacan y los tres mosqueperros;follows;1827;1142;
DArtacan y los tres mosqueperros;references;262;1142;
DArtacan y los tres mosqueperros;references;3321;1142;
David el gnomo;follows;3008;1157;
De tripas corazón;referenced in;5283;1189;
Despido improcedente;referenced in;1707;1244;
Despido improcedente;referenced in;4754;1244;
Después de tantos años;followed by;1532;1246;
Don Quijote de Orson Welles;version of;1396;1333;
Don Quijote de Orson Welles;version of;5286;1333;
El Lute (camina o revienta);follows;1394;1393;
El Lute II: mañana seré libre;followed by;1393;1394;
El Quijote de Miguel de Cervantes;version of;1333;1396;
El Quijote de Miguel de Cervantes;version of;5286;1396;
El amor brujo;followed by;638;1416;
El amor brujo;followed by;798;1416;
El asesino de Pedralbes;references;5217;1436;
El aullido del diablo;followed by;1828;1445;
El aullido del diablo;followed by;2823;1445;
El aullido del diablo;followed by;3027;1445;
El bengador Gusticiero y su pastelera madre;featured in;2343;1454;
El columpio;referenced in;3161;1505;
El crack II;followed by;1519;1518;
El crack;follows;1518;1519;
El crack;referenced in;1552;1519;
El crack;referenced in;425;1519;
El crack;referenced in;5341;1519;
El cura ya tiene hijo;followed by;1619;1526;
El desencanto;follows;1246;1532;
El divorcio que viene;references;1519;1552;
El donante;referenced in;2532;1557;
El donante;referenced in;577;1557;
El fascista, la beata y su hija desvirgada;referenced in;214;1589;
El hermano pequeño;follows;2610;1618;
El hermano pequeño;follows;3196;1618;
El hermano pequeño;follows;339;1618;
El hijo del cura;follows;1526;1619;
El hombre perseguido por un O.V.N.I.;edited from;4988;1634;
El libro de buen amor II;followed by;1688;1687;
El libro de buen amor;follows;1687;1688;
El maravilloso mundo del sexo;references;1244;1707;
El milagro de P. Tinto;referenced in;1847;1719;
El monosabio;references;1797;1730;
El periscopio;featured in;3640;1782;
El pico 2;followed by;1790;1789;
El pico;follows;1789;1790;
El poderoso influjo de la luna;referenced in;1730;1797;
El poderoso influjo de la luna;referenced in;2729;1797;
El poderoso influjo de la luna;referenced in;2796;1797;
El poderoso influjo de la luna;referenced in;3451;1797;
El poderoso influjo de la luna;referenced in;758;1797;
El regreso de Eva Man;followed by;2211;1821;
El regreso de una leyenda;followed by;1138;1822;
El regreso de una leyenda;followed by;532;1822;
El regreso del viento del Norte;features;5112;1823;
El regreso del viento del Norte;followed by;3005;1823;
El reino de Víctor;features;317;1824;
El retorno de DArtacan;followed by;1142;1827;
El retorno del Hombre-Lobo;followed by;3027;1828;
El retorno del Hombre-Lobo;follows;1445;1828;
El retorno del Hombre-Lobo;follows;2823;1828;
El retorno del Hombre-Lobo;follows;3473;1828;
El robobo de la jojoya;featured in;437;1837;
El secdleto de la tlompeta;references;1719;1847;
El sexo está loco;referenced in;2924;1865;
El sexo está loco;referenced in;4871;1865;
El sueño del mono loco;features;4806;1882;
El tío del saco y el inspector Lobatón;spoofed in;4595;1907;
El último guateque II;followed by;1919;1918;
El último guateque;follows;1918;1919;
