name;gender;idPer;
A. Solla, Ricardo;;1;
Aames, Willie;m;2;
Aaron, Jack;m;3;
Aba, Dayrein;f;4;
Abad de Santillán, Diego;m;5;
Abad, Adela;f;6;
Abad, Asun;f;7;
Abad, Diego;m;8;
Abad, Esperanza;f;9;
Abad, Francisco;m;10;
Abad, Gonzalo;;11;
Abad, Isabel;f;12;
Abad, Kike;m;13;
Abad, Manuel;m;14;
Abad, Marisa;f;15;
Abad, Mercedes;f;16;
Abad, Omar;;17;
Abad, Rocío;;18;
Abad, Sol;f;19;
Abad, Toni;;20;
Abadal, Francisco José;m;21;
Abadal, Ignasi;m;22;
Abadal, Pedro;;23;
Abadal, Pere;;24;
Abades, César;m;25;
Abades, Reyes;m;26;
Abadou, Youness;m;27;
Abajo, David;m;28;
Abajo, Juan Julio de;;29;
Abal, Miguel;;30;
Abalde, Eugenio;m;31;
Abarca, Carmen;;32;
Abarca, Verónica;f;33;
Abarrategui, D.;;34;
Abascal, Cecilio;m;35;
Abascal, Miguel;m;36;
Abascal, Nati;f;37;
Abascal, Silvia;f;38;
Abasolo, Iñaki;;39;
Abatantuono, Diego;m;40;
Abate, Massimo;m;41;
Abati, Joaquín;m;42;
Abato, Manolo;;43;
Abbad, Montse;f;44;
Abbati, Stefano;m;45;
Abbott, Thomas;m;46;
Abbou, Jean-Marc;;47;
Abbrescia, Dino;m;48;
Abbrugiati, Maria Vittoria;;49;
Abbruzzese, Alexandra;f;50;
Abbu, Anwuar;m;51;
Abdallah, Mouzahem;m;52;
Abdelhafid, Ami;f;53;
Abdelkrim, HMaia;m;54;
Abdo, Joe;m;55;
Abeal, Marcelo;m;56;
Abeijón, Luis;m;57;
Abeille, Claude;;58;
Abeillé, Jean;m;59;
Abel, Dominique;m;60;
Abelardo, Michael;;61;
Abeledo, Danny;m;62;
Abelho, Maria João;;63;
Abellá, Luis;m;64;
Abella, Nicole;f;65;
Abella, Rafael;m;66;
Abella, Ricardo;;67;
Abellán, Ismael;m;68;
Abello, Jorge;;69;
Abelló, Lola;f;70;
Abello, William;;71;
Abeni, Maurizio;;72;
Abensour, Nathalie;;73;
Aber, Christopher;m;74;
Aberasturi, Andrés;m;75;
Aberasturi, Fontxo;m;76;
Abesbatza, Asketa;;77;
Abeytua, César;m;78;
Abia, Alba;f;79;
Abia, Félix;;80;
Abiega, Elena;;81;
Abollo, Xullo;;82;
Abós, Manuel;m;83;
Abot, Didier;m;84;
Aboy, Isabel;f;85;
Abradelo, María;f;86;
Abraham Mestre, Ignacio;m;87;
Abraham, F. Murray;m;88;
Abraham, Nicolas;m;89;
Abraham, Paloma;f;90;
Abrahams, Jody;m;91;
Abrahamse, Ethel Williams;;92;
Abrahamsen, Svend;m;93;
Abramovitsch, Anna María;f;94;
Abrams, Tom;m;95;
Abreu, Aurelio;m;96;
Abreu, Gracia;;97;
Abreu, Juan Manuel;m;98;
Abrhám, Josef;m;99;
Abril García, Lucía;;100;
Abril, Albert;m;101;
Abril, Carme;f;102;
Abril, Cristina;;103;
Abril, Gonzalo;m;104;
Abril, José Luis;;105;
Abril, José;;106;
Abril, Marcel;;107;
Abril, Miguel;;108;
Abril, Pitu;m;109;
Abril, Victoria;f;110;
Abrola, Yolanda;f;111;
Abrunhosa, Pedro;m;112;
Abt, Christine;f;113;
Abu Libda, Ghassan;m;114;
Abu Saloum, Ahmad;m;115;
Abulafia, Carolina;;116;
Aburto, Sabrina;f;117;
Abusada, Jordi;m;118;
Abzalov, Melis;m;119;
Acacio, Vicente;;120;
Acaiabe, João;m;121;
Acaso, Félix;m;122;
Acaso, Fernando;m;123;
Accati, Laura;f;124;
Accornero, Roberto;m;125;
Acebal, Antonio;m;126;
Acebal, Fernando;m;127;
Acebal, Loli;;128;
Acebes, Mónica;;129;
Acebo, Lucía;f;130;
Acebrón, Valle;f;131;
Acedo, Davis;m;132;
Acedo, Manuel;m;133;
Aceo, Amador;m;134;
Acera, Julio César;m;135;
Acera, Santiago;m;136;
Acereto, David;;137;
Acero, Arturo;m;138;
Acero, Gerard;m;139;
Acero, Johnny;m;140;
Acevedo, Agustín;m;141;
Acevedo, Gustavo;m;142;
Acevedo, Llorenç;m;143;
Acevedo, Mari Ángeles;f;144;
Acevedo, Patricia;f;145;
Acevedo, Pedro;;146;
Aceves, Gustavo;;147;
Aceves, Heriberto;m;148;
Achard, Olivier;m;149;
Achaval, Sebastian;m;150;
Ache, Josep;m;151;
Achenguadi, Amomen;m;152;
Acheson, Caitlin;f;153;
Achugar, Walter;;154;
Achury, Diego;m;155;
Acinas, Ángel;m;156;
Acisclo, Javier;;157;
Ackermans, Jan;m;158;
Ackroyd, Barry;m;159;
Acosta Aldrete, Marcos Eduardo;;160;
Acosta Cazares, Roberto;m;161;
Acosta Esparza, Damián;m;162;
Acosta, Amalia;f;163;
Acosta, Angel;m;164;
Acosta, Aramis;;165;
Acosta, Armando;m;166;
Acosta, Carlos;m;167;
Acosta, Emilio;m;168;
Acosta, Francisco;m;169;
Acosta, Javier;;170;
Acosta, Jesús;;171;
Acosta, José Luis;m;172;
Acosta, José Manuel;m;173;
Acosta, José Maria;m;174;
Acosta, Juan;m;175;
Acosta, Juana;f;176;
Acosta, Lola;f;177;
Acosta, Marcos;;178;
Acosta, Sergio;m;179;
Acosta, Viviana;f;180;
Acosta, Wilfrido;m;181;
Acuña, David;;182;
Acuña, Sally;f;183;
Adabashyan, Aleksandr;m;184;
Adair, Deborah;f;185;
Adalid, Jaime;m;186;
Adalit, Mercè;f;187;
Adam García, Esmeralda;f;188;
Adam, Kathya;f;189;
Adam, Lluïsa;f;190;
Adam, Peter R.;m;191;
Adam, Tania;f;192;
Adamovic, Jozef;m;193;
Adams, Julie;;194;
Adams, Keith;;195;
Adams, Mary;f;196;
Adams, Maud;f;197;
Adams, Richard C.;m;198;
Adams, Vincent;m;199;
Adamson, Christopher;m;200;
Adán, Pablo;m;201;
Adan, Pedro;m;202;
Adánez, Inma;f;203;
Adánez, María;f;204;
Addahri, Hassan;m;205;
Addai, Jackson;m;206;
Adefarasin, Remi;m;207;
Adefarasin, Rene;;208;
Adela Martínez, Carmen;f;209;
Adelantado, Gloria;f;210;
Adelin, Jean-Claude;m;211;
Adell, José;m;212;
Adell, Mercé;;213;
Adelson, Gary;;214;
Adeva, Chema;m;215;
Adjani, Isabelle;f;216;
Adjemián, Martín;m;217;
Adlan, Isabelle;f;218;
Adlani, Benzeria-Mohamed;;219;
Adler, Don;m;220;
Adlon, Pamela;f;221;
Adnan, Augusto;m;222;
Adnan, J. María;m;223;
Adnan, Javier;m;224;
Adnan, Juan;m;225;
Adnan, Julio;m;226;
Adnane, Benzaida;;227;
Adon, Raida;f;228;
Adorf, Mario;m;229;
Adriá, Dina;f;230;
Adriá, Francisco;m;231;
Adriá, Paco;m;232;
Adriaco, Adrien;;233;
Adrián, Blanca;;234;
Adrian, Caroline;;235;
Adrián, Rosa-Blanca;;236;
Adriana, Beatriz;f;237;
Adriani, Patricia;f;238;
Adric, Daniel;m;239;
Adrien, Gilles;m;240;
Adura, Trini;;241;
Aedo, Daniel;m;242;
Aeschbacher, Kurt;;243;
Aesop;;244;
Affleck, Rab;m;245;
Aflalo, Bibiana;f;246;
Afman, Frans J.;m;247;
Afsharian, Farshid;m;248;
Agapito, Clara;;249;
Agarici, Alexandru;m;250;
Agatha;;251;
Agbayani, Tetchie;f;252;
Agelet, Jesús;m;253;
Agell, Miquel;m;254;
Agenjo, Carmela;f;255;
Aghatt, Susana;f;256;
Aginako, Arturo;m;257;
Agirre, Naroa;f;258;
Agirre, Ramón;m;259;
Agirretxe, Kontxa;;260;
Agnew, Iain;m;261;
Agorria, Aitor;;262;
Agostí, Carlos;m;263;
Agostini, Marisa;;264;
Agostini, Rita;;265;
Agosto, William;m;266;
Agoyo, Tailinh;f;267;
Agra, Alfonso;m;268;
Agra, Clara;f;269;
Agra, Ramón;;270;
Agramunt, Víctor;m;271;
Agranovich, Mikhail;m;272;
Agraz, Susana;;273;
Agrelo, Xosé M.;m;274;
Agren, Janet;f;275;
Agresti, Alejandro;m;276;
Agri, Antonio;m;277;
Agua, Lola la del;f;278;
Aguade, Ángel;;279;
Aguado Blasco, Miguel;;280;
Aguado, Alfonso;;281;
Aguado, Álvaro;m;282;
Aguado, Carmen;f;283;
Aguado, Cristina;;284;
Aguado, Dolores;f;285;
Aguado, Javier;m;286;
Aguado, Jose Luis;m;287;
Aguado, José Miguel;m;288;
Aguado, José;m;289;
Aguado, Juan Jose;m;290;
Aguado, Kety;f;291;
Aguado, Maika;f;292;
Aguado, Manuel;m;293;
Aguado, Marga;;294;
Aguado, Nazario;m;295;
Aguado, Rosa;f;296;
Aguado, Victorio;m;297;
Aguarod, Francisco;;298;
Aguat, Carlos;m;299;
Aguayo, José María;m;300;
Agudelo, M.;;301;
Agudelo, Marcela;f;302;
Agudero, Manolo;;303;
Agudín, Luis;m;304;
Agudo, Eleuterio;;305;
Agudo, Ruth;f;306;
Agüero, Héctor Esteban;;307;
Aguero, Margarita;f;308;
Agúero, Silvana;;309;
Agüero, Tania;f;310;
Aguerri, Anna;f;311;
Aguerri, Encarna;f;312;
Agui, José María;m;313;
Aguiar, Edmundo;m;314;
Aguiar, José Ignacio;;315;
Aguiar, Miguel;;316;
Aguiar, Mónica;;317;
Aguiar, Silvia;;318;
Águila, Humberto;m;319;
Aguilar Vicente, Antonio;m;320;
Aguilar, Ana;f;321;
Aguilar, Carlos;m;322;
Aguilar, Ena;;323;
Aguilar, Fernando;m;324;
Aguilar, Francisco;m;325;
Aguilar, Héctor;m;326;
Aguilar, Inmaculada;f;327;
Aguilar, Joan;m;328;
Aguilar, Jordi;m;329;
Aguilar, José Luis;;330;
Aguilar, José María;m;331;
Aguilar, Manolo;m;332;
Aguilar, Manuel;m;333;
Aguilar, Marcos de;;334;
Aguilar, Miguel Ángel;m;335;
Aguilar, Miguel;m;336;
Aguilar, Milagros;f;337;
Aguilar, Paco;m;338;
Aguilar, Rosa;f;339;
Aguilar, Roser;f;340;
Aguilar, Salvador;m;341;
Aguilar, Santiago;m;342;
Aguilar, Silvia;f;343;
Aguilar, Sofía;f;344;
Aguilar, Tony;m;345;
Aguilé, Luis;m;346;
Aguilera, Alex;m;347;
Aguilera, Belén;f;348;
Aguilera, Diana;f;349;
Aguilera, Enric;;350;
Aguilera, Francisco;m;351;
Aguilera, Lidia;;352;
Aguilera, Lola;f;353;
Aguilera, Lourdes;f;354;
Aguilera, Marian;f;355;
