role;idPer;idObra;
actor;10003;1972;
actor;10004;5286;
actor;10006;2818;
actor;10007;2818;
actor;10008;2818;
actor;10010;2452;
actor;10011;3420;
actor;10013;1393;
actor;10013;2143;
actor;10013;2963;
actor;10014;4345;
actor;10015;1835;
actor;10022;3074;
actor;10023;3952;
actor;10023;4962;
actor;10029;658;
actor;10031;4013;
actor;10037;5419;
actor;10038;841;
actor;10039;841;
actor;1003;3750;
actor;10040;2871;
actor;10040;3082;
actor;10040;4180;
actor;10040;4592;
actor;10040;5323;
actor;10042;944;
actor;10044;4219;
actor;10049;1494;
actor;1004;2313;
actor;1004;3261;
actor;1004;5217;
actor;10055;2648;
actor;10055;3525;
actor;10055;4608;
actor;10055;4964;
actor;10055;5555;
actor;10055;776;
actor;10057;3334;
actor;1005;1956;
actor;10060;4535;
actor;10061;2521;
actor;10066;958;
actor;10071;979;
actor;10072;1116;
actor;10072;1386;
actor;10072;1504;
actor;10072;1618;
actor;10072;1978;
actor;10072;2370;
actor;10072;2384;
actor;10072;245;
actor;10072;2487;
actor;10072;2877;
actor;10072;3010;
actor;10072;3071;
actor;10072;3374;
actor;10072;3469;
actor;10072;3632;
actor;10072;3872;
actor;10072;3948;
actor;10072;5082;
actor;10072;972;
actor;10076;1397;
actor;10076;2650;
actor;10076;3096;
actor;10076;3229;
actor;10076;3358;
actor;10076;3546;
actor;10076;3640;
actor;10076;4749;
actor;10076;4845;
actor;10076;4895;
actor;10076;4942;
actor;10076;968;
actor;10078;4489;
actor;10079;3482;
actor;10079;834;
actor;1007;1415;
actor;10082;3281;
actor;10083;2573;
actor;10084;1146;
actor;10085;5282;
actor;10086;1583;
actor;10088;3154;
actor;10089;3561;
actor;10089;4016;
actor;10094;176;
actor;10096;408;
actor;10098;1889;
actor;1009;1793;
actor;1009;2460;
actor;1009;2665;
actor;1009;3387;
actor;1009;341;
actor;1009;4069;
actor;1009;4294;
actor;1009;5091;
actor;10102;2563;
actor;10106;994;
actor;10107;1163;
actor;10107;1410;
actor;10107;1542;
actor;10107;2179;
actor;10107;2319;
actor;10107;244;
actor;10107;2803;
actor;10107;2978;
actor;10107;3245;
actor;10107;3311;
actor;10107;3553;
actor;10107;3704;
actor;10107;4366;
actor;10107;4457;
actor;10107;4803;
actor;10107;4822;
actor;10107;5434;
actor;10107;5483;
actor;10107;5627;
actor;10107;897;
actor;10108;2665;
actor;1010;2844;
actor;1010;4991;
actor;10111;476;
actor;10115;3201;
actor;10117;3302;
actor;10121;3261;
actor;10124;3009;
actor;10125;2748;
actor;10127;2298;
actor;10127;3881;
actor;1012;1106;
actor;1012;1348;
actor;1012;1362;
actor;1012;1401;
actor;1012;1406;
actor;1012;1527;
actor;1012;161;
actor;1012;1777;
actor;1012;1784;
actor;1012;1857;
actor;1012;1876;
actor;1012;2376;
actor;1012;2783;
actor;1012;2884;
actor;1012;2924;
actor;1012;3016;
actor;1012;309;
actor;1012;3224;
actor;1012;3344;
actor;1012;3515;
actor;1012;352;
actor;1012;3549;
actor;1012;3682;
actor;1012;3872;
actor;1012;3;
actor;1012;4059;
actor;1012;4366;
actor;1012;4653;
actor;1012;4822;
actor;1012;4840;
actor;1012;4851;
actor;1012;5185;
actor;1012;5196;
actor;1012;5272;
actor;1012;5337;
actor;1012;5348;
actor;1012;5409;
actor;1012;5673;
actor;1012;70;
actor;1012;784;
actor;1012;793;
actor;1012;897;
actor;1012;962;
actor;10130;1881;
actor;10130;2835;
actor;10130;596;
actor;10131;196;
actor;10131;2313;
actor;10131;840;
actor;10133;808;
actor;10134;5044;
actor;10136;5058;
actor;1013;1041;
actor;1013;1289;
actor;1013;2055;
actor;1013;2835;
actor;1013;2999;
actor;1013;3295;
actor;1013;341;
actor;1013;3470;
actor;1013;4202;
actor;1013;4546;
actor;1013;4806;
actor;1013;4812;
actor;1013;631;
actor;1013;808;
actor;1013;864;
actor;10145;1459;
actor;10147;1450;
actor;1014;528;
actor;10153;1394;
actor;10153;341;
actor;10153;4465;
actor;10156;2756;
actor;10159;4231;
actor;10163;5288;
actor;10173;1143;
actor;10175;1361;
actor;10176;3756;
actor;10177;4528;
actor;10181;5029;
actor;10184;2703;
actor;10186;2317;
actor;10187;2539;
actor;10187;4962;
actor;10188;4013;
actor;1018;3749;
actor;1018;5394;
actor;10190;1921;
actor;10190;2599;
actor;10190;4026;
actor;10191;2408;
actor;10191;2617;
actor;10193;135;
actor;10196;1144;
actor;10196;3123;
actor;10197;1732;
actor;101;2089;
actor;10201;2660;
