series_years_ini;series_years_fin;idObra;
1979;1980;65;
1994;2004;66;
1987;1988;71;
1986;????;72;
1977;1978;78;
1982;1991;82;
1991;1993;83;
1984;????;84;
1977;1983;85;
1975;????;86;
1989;????;87;
1986;1990;88;
1987;1989;90;
1976;1981;91;
1999;2006;95;
1995;????;142;
1994;????;144;
1992;????;145;
1987;????;146;
1989;????;148;
1990;????;149;
1988;????;151;
1986;????;152;
1986;????;134;
1993;????;154;
1996;????;153;
1976;1981;155;
1988;????;165;
1990;1991;158;
1984;????;159;
1995;????;162;
1993;1994;163;
1998;1999;164;
1985;1988;170;
1987;1989;171;
1992;1993;172;
1987;????;173;
1989;1991;175;
1988;????;179;
1998;????;180;
1993;????;181;
1991;1992;183;
1982;????;184;
1990;????;185;
1995;????;186;
1990;????;139;
1996;????;187;
1990;????;189;
1993;????;190;
1975;????;191;
1997;2004;193;
1994;1995;194;
1986;????;195;
1994;1997;197;
1999;????;199;
1987;1988;201;
1986;????;202;
1988;1990;203;
1988;????;204;
1988;????;205;
1986;1991;207;
1994;????;208;
1993;????;212;
1998;2000;221;
1992;????;223;
1983;????;226;
1999;????;231;
1989;????;248;
1994;????;247;
1990;????;246;
1986;1987;261;
1995;????;266;
1993;????;260;
1992;????;276;
1984;1987;273;
1996;????;283;
1991;????;282;
1992;1993;291;
1996;????;294;
1993;????;296;
1984;1985;301;
1994;????;302;
1998;2003;303;
1983;1986;307;
1997;2002;311;
1981;1983;322;
1999;2001;326;
1998;2004;327;
1998;????;328;
1998;????;332;
1993;????;338;
1988;????;342;
1998;2000;344;
1995;????;356;
1990;????;357;
1998;1998;358;
1991;????;367;
1992;????;368;
1997;????;369;
1998;????;370;
1981;????;377;
1987;????;380;
1996;2004;361;
1996;1999;386;
1998;????;389;
1996;????;391;
1977;????;392;
1983;????;404;
1997;2001;413;
1990;????;414;
1979;1980;417;
1998;????;419;
1999;????;421;
1995;????;422;
1983;????;424;
1978;1983;425;
1998;1999;432;
1995;????;435;
1995;????;436;
1995;????;438;
1995;1996;440;
1975;1976;441;
1991;????;444;
1988;????;446;
1994;????;450;
1990;1992;458;
1987;????;460;
1985;1987;461;
1999;????;462;
1981;????;463;
1994;1999;447;
1989;????;472;
1982;1983;484;
1993;1999;487;
1999;????;488;
1987;????;489;
1997;????;490;
1991;1994;497;
1998;????;513;
1985;1986;515;
1989;????;516;
1986;????;519;
1997;????;525;
1984;1985;526;
1983;????;527;
1996;????;520;
1989;1991;530;
1997;????;533;
1991;????;534;
1998;????;535;
1995;????;536;
1992;1993;538;
1998;1999;549;
1991;????;558;
1992;????;568;
1992;????;575;
1988;1989;576;
1979;2000;577;
1990;1993;589;
1991;1992;590;
1984;1985;593;
1984;????;594;
1991;????;600;
1990;????;608;
1991;????;609;
1982;1983;611;
1998;????;618;
1995;????;619;
1992;????;620;
1981;1983;621;
1987;1988;624;
1981;1982;629;
1997;????;631;
1985;????;634;
1988;????;635;
1997;????;639;
1992;2004;642;
1996;????;644;
1986;????;651;
1995;????;657;
1994;????;661;
1992;????;662;
1989;????;663;
1982;1984;673;
1986;1990;677;
1993;????;676;
1994;????;686;
1989;1990;691;
1986;????;690;
1998;????;699;
1991;????;700;
1998;????;703;
1993;????;707;
1996;????;712;
1983;????;714;
1988;1991;715;
1999;????;717;
1991;????;720;
1997;????;723;
1999;????;736;
1990;????;741;
1990;????;742;
1994;????;743;
1997;????;746;
1990;????;747;
1997;????;754;
1979;1980;755;
1995;????;756;
1975;1976;757;
1987;????;759;
1985;????;760;
1994;1996;763;
1977;????;765;
1985;????;766;
1978;1979;767;
1996;????;769;
1999;2006;770;
1987;????;773;
1997;1998;774;
1999;????;778;
1990;????;783;
1984;????;794;
1996;????;797;
1989;1990;810;
1994;????;814;
1995;????;818;
1999;????;829;
1999;????;834;
1978;????;832;
1978;????;748;
1993;????;846;
1999;2000;850;
1997;????;852;
1994;1995;853;
1989;????;855;
1993;????;856;
1980;????;857;
1999;2000;860;
1992;????;862;
1984;????;883;
1981;????;884;
1993;1995;892;
1991;????;893;
1995;????;899;
1995;????;901;
1984;????;902;
1988;????;903;
1988;1989;908;
1982;????;910;
1997;????;912;
1993;1996;913;
1994;1995;916;
1988;????;918;
1994;????;919;
1989;????;920;
1981;????;921;
1987;????;925;
1991;1995;930;
1986;????;931;
1992;????;932;
1989;2005;936;
1995;????;937;
1991;????;938;
1992;????;939;
1998;????;941;
1994;????;947;
1989;1992;949;
1994;????;953;
1992;????;960;
1999;2004;961;
1985;????;957;
1998;2002;971;
1989;????;974;
1994;????;976;
1984;1991;986;
1995;????;987;
1997;1999;988;
1995;????;990;
1976;1977;992;
1996;????;993;
1997;????;994;
1997;2004;995;
1992;1993;998;
1999;????;999;
1994;1995;1002;
1978;????;1005;
1981;1987;1008;
1992;1994;1009;
1996;1997;1014;
1988;????;1015;
1996;????;1017;
1998;????;1023;
1996;????;1029;
1989;????;1036;
1997;????;1032;
1989;1990;1035;
1993;2013;1034;
1984;????;1046;
1999;????;1049;
1980;1981;1053;
1999;????;1054;
1985;????;1060;
1996;????;1058;
1988;????;1062;
1990;????;1063;
1996;????;1065;
1984;1985;1068;
1999;????;1076;
1990;????;1080;
1998;????;1095;
1999;????;1082;
1988;1989;1088;
1996;1997;1094;
1988;????;1087;
1992;1993;1091;
1997;2005;1092;
1991;1992;1093;
1988;????;1098;
1989;????;1118;
1976;????;1119;
1984;????;1126;
1995;????;1127;
1996;????;1130;
1975;????;1135;
1975;????;1136;
1976;1978;1138;
1999;????;1139;
1999;????;1115;
1995;????;1123;
1997;????;1140;
1993;????;727;
1998;2004;942;
1993;1994;943;
1987;????;954;
1981;????;1142;
1991;1993;1151;
1993;????;1154;
1993;????;1156;
1985;????;1157;
1981;1982;1162;
1991;????;1164;
1980;1981;1165;
1997;1998;1166;
1986;????;1169;
1985;????;1170;
1995;????;1171;
1996;????;1172;
1991;????;1173;
1986;????;1175;
1991;1992;1178;
1982;1990;1179;
1989;????;1180;
1988;1990;1182;
1985;1987;1183;
1997;????;1184;
1992;????;1185;
1996;????;1186;
1989;????;1187;
1998;????;1188;
1990;1993;1190;
1987;????;1194;
1996;????;1195;
1990;????;1202;
1990;????;1203;
1992;????;1207;
1983;????;1208;
1989;????;1212;
1999;????;1192;
1983;1986;1220;
1981;????;1223;
1988;????;1227;
1991;1993;1229;
1997;????;1231;
1993;????;1232;
1991;1992;1233;
1999;2002;1241;
1978;????;1251;
1980;????;1252;
1994;????;1254;
1990;1991;1257;
1991;????;1258;
1998;????;1259;
1985;1986;1268;
1988;1989;1275;
1990;????;1276;
1992;????;1285;
1997;1999;1287;
1984;????;1288;
1988;1989;1290;
1985;1986;1294;
1980;????;1297;
1996;????;1302;
1986;????;1303;
1994;????;1304;
1975;1976;1299;
1989;????;1310;
1982;????;1266;
1998;????;1314;
1996;????;1315;
1982;1982;1318;
1986;????;1319;
1990;????;1322;
1989;????;1323;
1997;1998;1324;
1982;????;1325;
1997;????;1331;
1978;????;1334;
1990;????;1335;
1997;1998;1340;
1994;????;1341;
1990;????;1344;
1978;????;1350;
1996;????;1345;
1978;????;1357;
1979;1979;1359;
1994;????;1361;
1993;????;1364;
1990;????;1365;
1993;????;1371;
1990;????;1373;
1996;2004;1262;
1991;????;1271;
1986;????;1370;
1996;????;1375;
1998;????;1378;
1997;????;1379;
1981;1982;1405;
1989;????;1409;
1982;1987;1434;
1985;????;1449;
1987;????;1458;
1975;1976;1471;
1994;????;1472;
1978;1981;1475;
1994;????;1477;
1980;1983;1481;
1994;????;1490;
1994;????;1498;
1999;2005;1499;
1996;????;1500;
1979;????;1502;
1999;2009;1508;
1981;????;1510;
1997;1998;1511;
1995;????;1514;
1994;????;1515;
1999;????;1524;
1995;????;1530;
1995;????;1535;
1997;????;1537;
1997;????;1554;
1986;1987;1555;
1990;2005;1543;
1989;1990;1545;
1994;1995;1546;
